iter	Passed	Remaining
0	150	150064
1	152	76234
2	155	51617
3	157	39267
4	160	31881
5	162	26926
6	164	23399
7	167	20748
8	168	18527
9	168	16728
10	169	15274
11	170	14065
12	171	13040
13	172	12166
14	173	11405
15	174	10738
16	175	10150
17	176	9627
18	177	9160
19	178	8739
20	179	8357
21	180	8012
22	181	7695
23	182	7404
24	182	7136
25	183	6891
26	184	6661
27	185	6449
28	186	6251
29	187	6067
30	188	5895
31	189	5732
32	190	5579
33	191	5437
34	192	5303
35	193	5174
36	193	5044
37	194	4921
38	194	4803
39	195	4691
40	196	4585
41	196	4484
42	197	4387
43	197	4295
44	198	4207
45	198	4122
46	199	4042
47	199	3964
48	200	3890
49	201	3819
50	201	3750
51	202	3684
52	202	3620
53	203	3559
54	203	3500
55	204	3443
56	204	3388
57	205	3335
58	205	3284
59	206	3235
60	207	3187
61	207	3140
62	208	3095
63	208	3051
64	209	3009
65	209	2968
66	210	2928
67	210	2889
68	211	2852
69	211	2815
70	212	2780
71	213	2745
72	213	2712
73	214	2679
74	214	2647
75	215	2616
76	215	2586
77	216	2556
78	216	2528
79	217	2499
80	217	2472
81	218	2445
82	219	2419
83	219	2394
84	220	2369
85	220	2345
86	221	2321
87	221	2298
88	222	2275
89	222	2253
90	223	2231
91	223	2210
92	224	2189
93	225	2168
94	225	2148
95	226	2129
96	226	2110
97	227	2091
98	227	2072
99	228	2054
100	228	2036
101	229	2019
102	229	2002
103	230	1985
104	230	1968
105	231	1952
106	232	1936
107	232	1921
108	233	1905
109	233	1890
110	234	1876
111	234	1861
112	235	1847
113	235	1833
114	236	1819
115	237	1806
116	237	1792
117	238	1779
118	238	1766
119	239	1754
120	239	1741
121	240	1729
122	240	1717
123	241	1705
124	241	1693
125	242	1681
126	243	1670
127	243	1659
128	244	1648
129	244	1637
130	245	1626
131	245	1615
132	246	1605
133	246	1595
134	247	1585
135	247	1575
136	248	1565
137	249	1555
138	249	1545
139	250	1536
140	250	1526
141	251	1517
142	251	1508
143	252	1499
144	252	1490
145	253	1482
146	253	1473
147	254	1464
148	255	1456
149	255	1448
150	256	1440
151	256	1432
152	257	1425
153	257	1416
154	258	1409
155	259	1401
156	259	1394
157	260	1387
158	260	1380
159	261	1373
160	262	1366
161	262	1359
162	263	1352
163	263	1345
164	264	1338
165	265	1332
166	265	1325
167	266	1319
168	267	1313
169	267	1306
170	268	1299
171	268	1293
172	269	1287
173	269	1281
174	270	1275
175	271	1269
176	271	1263
177	272	1257
178	272	1251
179	273	1245
180	274	1240
181	274	1234
182	275	1229
183	275	1223
184	276	1218
185	277	1212
186	277	1207
187	278	1201
188	278	1196
189	279	1191
190	280	1186
191	280	1181
192	281	1176
193	281	1171
194	282	1166
195	283	1161
196	283	1156
197	286	1158
198	289	1165
199	290	1162
200	291	1158
201	292	1154
202	292	1149
203	293	1146
204	294	1141
205	295	1137
206	296	1134
207	298	1137
208	303	1148
209	304	1145
210	306	1146
211	308	1145
212	309	1142
213	310	1140
214	311	1137
215	313	1136
216	313	1132
217	315	1130
218	319	1138
219	320	1136
220	322	1135
221	322	1131
222	324	1130
223	325	1127
224	326	1125
225	327	1121
226	328	1117
227	328	1113
228	329	1109
229	330	1104
230	330	1101
231	331	1096
232	332	1093
233	332	1089
234	333	1085
235	333	1081
236	334	1077
237	335	1073
238	335	1069
239	336	1065
240	337	1061
241	337	1057
242	338	1054
243	339	1050
244	339	1046
245	340	1042
246	341	1040
247	342	1037
248	342	1033
249	343	1030
250	344	1026
251	344	1023
252	345	1019
253	345	1016
254	346	1012
255	347	1008
256	347	1005
257	348	1001
258	348	998
259	349	995
260	350	991
261	350	988
262	351	984
263	351	981
264	352	978
265	353	974
266	353	971
267	354	968
268	355	964
269	355	961
270	356	958
271	356	955
272	357	951
273	358	948
274	358	945
275	359	941
276	359	938
277	360	935
278	360	932
279	361	928
280	361	925
281	362	922
282	362	919
283	363	916
284	363	913
285	364	910
286	365	906
287	365	903
288	366	900
289	366	897
290	367	894
291	367	891
292	368	888
293	368	885
294	369	883
295	370	880
296	370	877
297	371	874
298	371	871
299	372	869
300	373	866
301	373	863
302	374	860
303	374	857
304	375	855
305	375	852
306	376	849
307	376	846
308	377	843
309	377	841
310	378	838
311	379	835
312	379	833
313	380	830
314	380	827
315	381	825
316	381	822
317	382	820
318	382	817
319	383	814
320	384	812
321	384	809
322	385	807
323	385	804
324	386	802
325	386	799
326	387	797
327	387	794
328	388	792
329	389	789
330	389	787
331	390	785
332	390	782
333	391	780
334	391	777
335	392	775
336	392	772
337	393	770
338	393	768
339	394	765
340	395	763
341	395	761
342	396	758
343	396	756
344	397	754
345	397	751
346	398	749
347	398	747
348	399	745
349	399	742
350	400	740
351	401	738
352	401	736
353	402	734
354	402	731
355	403	729
356	403	727
357	404	725
358	404	723
359	405	720
360	406	718
361	406	716
362	407	714
